AVG R2 SCORE: 0.9805755932424717, SYMBOLIC: NaN
AVG R2 SCORE: 0.9838944432510175, SYMBOLIC: 0.9580633502144881
AVG R2 SCORE: 0.9724125430956543, SYMBOLIC: 0.9302380938454706
AVG R2 SCORE: 0.9857188490473022, SYMBOLIC: 0.7982662152559216
AVG R2 SCORE: 0.7970334626812805, SYMBOLIC: 0.08766466318949628
AVG R2 SCORE: 0.9757039458216141, SYMBOLIC: 0.9838834897669673
AVG R2 SCORE: 0.9834510796542996, SYMBOLIC: 0.9590608168593173
AVG R2 SCORE: 0.9354865862936557, SYMBOLIC: 0.9671943761975264
AVG R2 SCORE: 0.9638794891161708, SYMBOLIC: NaN
AVG R2 SCORE: 0.9698192758924392, SYMBOLIC: 0.9506869824005215
AVG R2 SCORE: 0.9834416040811506, SYMBOLIC: 0.9874129681164068
AVG R2 SCORE: 0.9359982668106357, SYMBOLIC: 0.7482255417869578
AVG R2 SCORE: 0.768842733979125, SYMBOLIC: 0.7698050885656673
AVG R2 SCORE: -0.6270237482817729, SYMBOLIC: 0.9457087471393422
AVG R2 SCORE: 0.9850283787101769, SYMBOLIC: 0.941479117848925
AVG R2 SCORE: 0.9451267925890144, SYMBOLIC: 0.5866368215597637
AVG R2 SCORE: 0.9635361522560988, SYMBOLIC: 0.9285076749779332
AVG R2 SCORE: 0.99354654843076, SYMBOLIC: 0.38441951809508257
AVG R2 SCORE: 0.8609661117781879, SYMBOLIC: 0.7850049581291013
AVG R2 SCORE: 0.988394929191249, SYMBOLIC: 0.930217745640046
AVG R2 SCORE: 0.9646456423689367, SYMBOLIC: 0.8477240956083825
AVG R2 SCORE: 0.9906143106476744, SYMBOLIC: 0.9771348422206325
AVG R2 SCORE: 0.9789023590483107, SYMBOLIC: 0.9392686803180028
AVG R2 SCORE: 0.9198334942460975, SYMBOLIC: 0.889581136941322
AVG R2 SCORE: 0.9779903121132372, SYMBOLIC: 0.9351615524155585
AVG R2 SCORE: 0.9864005796820516, SYMBOLIC: 0.9390442192744278
AVG R2 SCORE: 0.9809886566678292, SYMBOLIC: 0.945695599298586
AVG R2 SCORE: 0.9896512983706983, SYMBOLIC: 0.9264990556755938
AVG R2 SCORE: 0.8516416398481166, SYMBOLIC: -124.20618974696313
