AVG R2 SCORE: 0.9281530677669853, SYMBOLIC: 0.9282464790387303
AVG R2 SCORE: 0.7510745502021098, SYMBOLIC: 0.7094092354229974
AVG R2 SCORE: 0.692062361522512, SYMBOLIC: 0.709531005440332
AVG R2 SCORE: 0.8335368926794241, SYMBOLIC: NaN
AVG R2 SCORE: 0.3373318883025649, SYMBOLIC: NaN
AVG R2 SCORE: 0.8853051033958433, SYMBOLIC: 0.8667459508125475
AVG R2 SCORE: 0.7792188251602639, SYMBOLIC: 0.7655620815768026
AVG R2 SCORE: 0.4638542566683539, SYMBOLIC: NaN
AVG R2 SCORE: 0.9672861481335311, SYMBOLIC: 0.9672195058373761
AVG R2 SCORE: -2.498348154803547, SYMBOLIC: NaN
AVG R2 SCORE: 0.8969126765372799, SYMBOLIC: 0.8789946174841922
AVG R2 SCORE: -3.282280127550664, SYMBOLIC: NaN
AVG R2 SCORE: 0.7560054690840677, SYMBOLIC: 0.7524370831191425
AVG R2 SCORE: 0.8132331124661181, SYMBOLIC: NaN
AVG R2 SCORE: 0.9667439391371956, SYMBOLIC: 0.9668415567127596
AVG R2 SCORE: 0.8804070794850989, SYMBOLIC: 0.8689463385255446
AVG R2 SCORE: 0.9031040221379438, SYMBOLIC: 0.9031818352021218
AVG R2 SCORE: -0.9827258426599127, SYMBOLIC: NaN
AVG R2 SCORE: -5.842918482471037, SYMBOLIC: NaN
AVG R2 SCORE: -0.519549327640333, SYMBOLIC: NaN
AVG R2 SCORE: 0.9618578673085199, SYMBOLIC: 0.9623475290729726
AVG R2 SCORE: 0.948576152687658, SYMBOLIC: 0.9499624735339164
AVG R2 SCORE: 0.7994340942102618, SYMBOLIC: 0.6291890087374007
AVG R2 SCORE: 0.6338493371105912, SYMBOLIC: NaN
AVG R2 SCORE: 0.9676298841677925, SYMBOLIC: 0.9678030223456192
AVG R2 SCORE: 0.8233230763485512, SYMBOLIC: 0.8238724458115514
AVG R2 SCORE: -0.9307138717604109, SYMBOLIC: NaN
AVG R2 SCORE: -0.25511929319257454, SYMBOLIC: NaN
AVG R2 SCORE: 0.8198137192247604, SYMBOLIC: 0.7462986293900797
AVG R2 SCORE: 0.8271361035196164, SYMBOLIC: 0.8280158110885643
AVG R2 SCORE: 0.9500198872766015, SYMBOLIC: 0.9667155784318722
AVG R2 SCORE: 0.8491145125399601, SYMBOLIC: 0.8235095688147561
AVG R2 SCORE: 0.877893085041271, SYMBOLIC: 0.8781458731898587
AVG R2 SCORE: -1.8008400752699696, SYMBOLIC: NaN
AVG R2 SCORE: 0.889121790496035, SYMBOLIC: 0.8532055400401385
AVG R2 SCORE: 0.9240778852728592, SYMBOLIC: 0.9242876431865557
AVG R2 SCORE: 0.9263136210040855, SYMBOLIC: 0.9231353517471639
AVG R2 SCORE: 0.9458179863587993, SYMBOLIC: 0.9454326454295315
AVG R2 SCORE: 0.7925060958200608, SYMBOLIC: -8.296560998837764
AVG R2 SCORE: 0.9679799918099788, SYMBOLIC: 0.9680265568890201
AVG R2 SCORE: 0.8651772982210685, SYMBOLIC: 0.8657300469606404
AVG R2 SCORE: 0.03405486297657104, SYMBOLIC: NaN
AVG R2 SCORE: 0.8102775566444341, SYMBOLIC: 0.7793873832589848
AVG R2 SCORE: -0.5454095122249126, SYMBOLIC: -0.5426167523204942
AVG R2 SCORE: -0.3221326082091655, SYMBOLIC: NaN
AVG R2 SCORE: 0.887957055885947, SYMBOLIC: NaN
AVG R2 SCORE: -4.2775347602829035, SYMBOLIC: NaN
AVG R2 SCORE: 0.8495202437283795, SYMBOLIC: 0.8376000925677703
AVG R2 SCORE: 0.6699801515441455, SYMBOLIC: 0.6727698280986464
AVG R2 SCORE: 0.948786327502828, SYMBOLIC: 0.9497504559295703
AVG R2 SCORE: 0.8872620172444611, SYMBOLIC: 0.8887681732053877
AVG R2 SCORE: 0.8601099933460244, SYMBOLIC: 0.8199081149220944
AVG R2 SCORE: 0.8245821999059153, SYMBOLIC: 0.8255691711455329
AVG R2 SCORE: -1.7247556426034716, SYMBOLIC: -1.723439402882911
AVG R2 SCORE: 0.8962032288443715, SYMBOLIC: 0.8712024112993174
AVG R2 SCORE: 0.8905264124428222, SYMBOLIC: 0.8552493964141498
AVG R2 SCORE: 0.9004437046748213, SYMBOLIC: 0.9009794927042662
AVG R2 SCORE: -5.842918482471037, SYMBOLIC: NaN
AVG R2 SCORE: -0.002873915920695428, SYMBOLIC: NaN
