,A-2,B-1,B-2,B-4,B-5,B-7,B-8,C-1,C-2,C-3,C-4,C-5,C-6,C-7,C-8,C-9,C-10,C-11,C-12,C-13,C-14,C-15
CR_1,0.05870593533970896,0.03673542661673911,0.0348103526916376,0.07175964255878961,0.08363972837000262,0.07981834840266795,0.047533284650447545,0.1589253500491331,0.1671571491375479,0.11548435265356732,0.01057484637703539,0.012803438474979726,0.026948088070438043,0.037591190720270805,0.040829014641711396,0.04244195143305461,0.04670223988998967,0.04008938151456522,0.031445793493364564,0.019692070191329177,0.008199641111630004,0.03073536551710397
CR_2,0.0413637505398662,0.03854109128021385,0.03126004343795192,0.007379746947792305,0.06395486252274675,0.10442935846166482,0.0948491884153002,0.015867164046532156,0.011897025509574824,0.11130804982683097,0.16581365424437028,0.14332209251763475,0.03312709849442636,0.00707023112734097,0.024772834550082178,0.04213045325921949,0.0543436022366503,0.0509032320585878,0.04912604805791785,0.03872609730825862,0.042106071351976374,0.03408833472656558
CR_3,0.0527328092616257,0.0887889001178441,0.05141808049572452,0.03260161543073421,0.02215178488643373,0.08012721682269049,0.09487169568960038,0.047411002465448146,0.03477342091090816,0.022818275234996986,0.009864449021320726,0.028636562253085397,0.13519759219855196,0.16091520461758888,0.10712824264312926,0.004964990487778339,0.020293449039649792,0.032382720399847506,0.04013628337293062,0.037165272968416624,0.04708429944653952,0.04962333992138505
CR_4,0.07141119746514081,0.09736172254178585,0.09087456261666017,0.04046474162228112,0.03539644866953355,0.004703519120089735,0.05556309690385222,0.05165573098378477,0.0482898247494668,0.04622594667691113,0.04295731138608022,0.03511043429128146,0.01689428030791354,0.009413689731995982,0.117480672391413,0.18630607904105204,0.17619294893131332,0.0406271737258243,0.005808499297772326,0.018963775024076725,0.034216281398121315,0.04279119694727698
CR_5,0.08843544672664766,0.06891459331624628,0.0871729713238879,0.09432002363990533,0.04861841389961632,0.039838666386688384,0.03585354108056218,0.030417199645597554,0.03794632412669945,0.041869730410245755,0.0465133380079382,0.0464333813774015,0.04337952719659087,0.03621810237721235,0.023997315301511307,0.009686952084114615,0.036403923465481644,0.15984484364555418,0.1741169360651229,0.1092726477207816,0.016576272215556402,0.010892127160232164
CR_6,0.08671911569188148,0.009842089985630353,0.05296326330761679,0.1048360020722675,0.08199864675958982,0.030301626780943433,0.03704110205574648,0.029353373013325832,0.008250869472668853,0.0225014483756238,0.03464177366154566,0.041454810622922826,0.04213178698970066,0.04335613256532953,0.03912478440077438,0.03714448969130562,0.03027886461863973,0.012202014126638683,0.014274991087298326,0.11058592804194844,0.18918901259616547,0.1546977143643902
