,fluxQ1,fluxQ2,fluxQ3,fluxQ4
theta_1,0.08932417599422052,0.02808528022758297,0.04765128879857937,0.015059742453568361
theta_2,0.08721114036411595,0.015029338347209037,0.04418099590213486,0.02814697933735493
theta_3,0.014441948633776826,0.08648095117056281,0.028365755588708828,0.04350358125367598
theta_4,0.02743428358506702,0.08854265281538454,0.014801418954904054,0.04818078484704582
theta_5,0.04642656803784353,0.014258444241759378,0.08738207665388856,0.027188830708344287
theta_6,0.04295180081219081,0.02727159232120083,0.08490544015313278,0.014700008518797075
theta_7,0.028330608803018402,0.04322233484707688,0.014935147963274557,0.08650292680711097
theta_8,0.014320884586206095,0.04670606156043771,0.026956339346557674,0.08633221326612348
