,B-1,B-2,B-4,B-5,B-7,B-8
CR_1,0.03690744594984866,0.03556165668588835,0.07015929668982747,0.08018407590636722,0.07739982447109664,0.0456680855882073
CR_2,0.036522573037766314,0.0332168453080712,0.0073095429439946225,0.06257748985237578,0.10316733994307697,0.09260057859511041
CR_3,0.08987938163879186,0.05002558708459257,0.03427416243997861,0.023353035438954527,0.08167709471462115,0.09695026868473029
CR_4,0.09916730713255294,0.09411156653164386,0.04365999352035767,0.03338739734464429,0.0037398754955886566,0.053358859884321486
CR_5,0.0700045197157223,0.08665339209941351,0.09338329363321636,0.04670828266749039,0.039475019648751566,0.03405483079875067
CR_6,0.008096884802708341,0.0501817391342575,0.10122909600927431,0.07865596136286084,0.0294319700112429,0.03623494637865338
