,C-1,C-2,C-3,C-4,C-5,C-6,C-7,C-8,C-9,C-10,C-11,C-12,C-13,C-14,C-15
CR_1,0.15994782432404833,0.16958551374899278,0.11739330702044816,0.012721554672916883,0.010683985908469184,0.026664912545083914,0.03741786813020656,0.03976318509220949,0.04205139637123569,0.04648448327327939,0.03945957434356079,0.031194318007623477,0.018537091661754636,0.007324580569962848,0.031297198957218546
CR_2,0.016244519504488908,0.01227051504410806,0.11105583185752764,0.16694496793206118,0.1438566489072067,0.03304389580238869,0.007611017979065751,0.027476293179250377,0.04332657675217631,0.05599762390018042,0.052431837260018106,0.050480190445369735,0.039762621779867564,0.04201006125687112,0.03503522926321338
CR_3,0.047019502360174534,0.03368769340131045,0.021497857965177166,0.006879796976331205,0.03299074468070465,0.1407619184998225,0.16650571845897932,0.11111986194799196,0.006133918425768016,0.021148729212865484,0.033467654563459084,0.04172688757012223,0.038099540685811624,0.048574565591015896,0.05051178995045424
CR_4,0.05177600598529944,0.04843354093363799,0.04681604338129366,0.04389011325037713,0.03552659071249651,0.01798010317785746,0.008104090311843185,0.1184533112796334,0.18774542188575039,0.1778561648644106,0.041581285494074346,0.004971747881299764,0.016660063685442632,0.03209630700019103,0.041367311075298376
CR_5,0.03107218174264504,0.03715018995969528,0.04121375062476773,0.04487025994929502,0.0449686753706009,0.04423930814799847,0.03739229362524439,0.024575158848103257,0.007881239657309644,0.037968832659141596,0.16023235144413173,0.17578826479040519,0.10940057205109774,0.014864269720970812,0.011853515406465898
CR_6,0.03055008533291625,0.007774540344011071,0.02225404888600863,0.034776704937120734,0.04089504112191202,0.0417301015896654,0.042871586204627936,0.03953527884284585,0.037113549622333576,0.03151379914152164,0.014606591296625417,0.012460301381348174,0.10953635213510748,0.18947372963187228,0.15638972582523222
