,fluxQ1,fluxQ2,fluxQ3,fluxQ4
theta_1,0.08932723192538018,0.02749904622395408,0.04881798535050997,0.01580667786114663
theta_2,0.08938894682513752,0.014831279053792501,0.04456636414466543,0.028933566724163567
theta_3,0.015451239151078839,0.08817333717290596,0.027712930492299098,0.04450623412799828
theta_4,0.027055920650899377,0.0873290254632268,0.015304332986023923,0.04791345784256204
theta_5,0.04877770162975386,0.015082516559599518,0.08965347908699574,0.027343763467825605
theta_6,0.04502115746507228,0.0279403527224106,0.08940861007868081,0.01566865020284871
theta_7,0.028712844794199593,0.04447998482768051,0.015338553897033522,0.08789490191207383
theta_8,0.015583531227068216,0.048017216659132826,0.026912325300997093,0.08933450789590054
