AVG R2 SCORE: 0.8862902275640446, SYMBOLIC: 0.8871112235250747
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.9848214875104182, SYMBOLIC: 0.9834785872982164
AVG R2 SCORE: 0.9547434395127224, SYMBOLIC: 0.9551808993769223
AVG R2 SCORE: 0.9895542990429391, SYMBOLIC: 0.9856653841356091
AVG R2 SCORE: -1.7913801872286164, SYMBOLIC: -1.7912615597628623
AVG R2 SCORE: -0.6775021969517182, SYMBOLIC: -0.6758886710333303
AVG R2 SCORE: -0.0035934298102541506, SYMBOLIC: -0.0037613101178764485
AVG R2 SCORE: -4.325507558250697, SYMBOLIC: -4.333136809828991
AVG R2 SCORE: -0.26895277656369104, SYMBOLIC: -0.9111859627188497
AVG R2 SCORE: 0.833360707316632, SYMBOLIC: 0.8335197488442776
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.8343125476626065, SYMBOLIC: 0.8365130074201341
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.910310658822661, SYMBOLIC: 0.8975403399799666
AVG R2 SCORE: 0.9003039858270541, SYMBOLIC: 0.8992248623311001
AVG R2 SCORE: 0.010672299279369052, SYMBOLIC: NaN
AVG R2 SCORE: 1.010797097364402e-05, SYMBOLIC: -0.0007528718168649806
AVG R2 SCORE: 0.07260613380314038, SYMBOLIC: 0.0686210233248751
AVG R2 SCORE: -0.789166671863916, SYMBOLIC: NaN
AVG R2 SCORE: -0.38977568363095816, SYMBOLIC: -0.38808354628683683
AVG R2 SCORE: 0.9536743706815857, SYMBOLIC: 0.9538117595039519
AVG R2 SCORE: 0.017489017247615313, SYMBOLIC: 0.016259934899962136
AVG R2 SCORE: 0.9479146040564594, SYMBOLIC: 0.9281855684337359
AVG R2 SCORE: 0.9369288925009991, SYMBOLIC: 0.934859077966907
