AVG R2 SCORE: 0.9729054168354242, SYMBOLIC: 0.5039177514320252
AVG R2 SCORE: -0.9013579530437943, SYMBOLIC: -0.9040346300201465
AVG R2 SCORE: 0.9836613729896417, SYMBOLIC: NaN
AVG R2 SCORE: 0.053550376437890845, SYMBOLIC: 0.056124299766640684
AVG R2 SCORE: 0.9395400937073832, SYMBOLIC: 0.9155377902596677
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9756357681708053, SYMBOLIC: 0.9396161114366823
AVG R2 SCORE: -1.5484055365854692, SYMBOLIC: NaN
AVG R2 SCORE: -0.23451232269449718, SYMBOLIC: -0.22573350381780388
AVG R2 SCORE: -0.10538513259239002, SYMBOLIC: -0.1258308162386803
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9780023064888056, SYMBOLIC: 0.9729904601454212
AVG R2 SCORE: -1.066791315712166, SYMBOLIC: -1.0674969732145487
AVG R2 SCORE: 0.9582302604227374, SYMBOLIC: 0.9197871468501563
AVG R2 SCORE: 0.9708520407886765, SYMBOLIC: 0.9558355518937187
AVG R2 SCORE: 0.9833881548311415, SYMBOLIC: 0.9413179566044155
AVG R2 SCORE: 0.9706526971417025, SYMBOLIC: 0.9503512094497655
AVG R2 SCORE: 0.052309543949841664, SYMBOLIC: 0.046117381900823595
AVG R2 SCORE: 0.014215614683260824, SYMBOLIC: 0.014327515345853747
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9823814133124041, SYMBOLIC: 0.5376722018135256
AVG R2 SCORE: 0.9804327437079201, SYMBOLIC: 0.9656527693261604
AVG R2 SCORE: -0.0002814776742534608, SYMBOLIC: NaN
AVG R2 SCORE: 0.9519486456235884, SYMBOLIC: 0.9536046919068252
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9848590035464113, SYMBOLIC: 0.9640032522588181
AVG R2 SCORE: 0.985102717365219, SYMBOLIC: 0.9644358322933048
AVG R2 SCORE: -0.044174920987831934, SYMBOLIC: -0.04771213491381121
AVG R2 SCORE: 0.9388559439443926, SYMBOLIC: 0.9178138192017815
AVG R2 SCORE: 0.9882920485095716, SYMBOLIC: 0.9133030324566593
AVG R2 SCORE: 0.9713119078410052, SYMBOLIC: NaN
AVG R2 SCORE: 0.9831593046234791, SYMBOLIC: 0.9720276225870543
AVG R2 SCORE: 0.8202045757764271, SYMBOLIC: NaN
AVG R2 SCORE: -0.0003640896703749341, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9834770772961609, SYMBOLIC: 0.9141492479287456
AVG R2 SCORE: 0.9713581196932476, SYMBOLIC: 0.9608266825669659
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.5178893892455292, SYMBOLIC: -0.1881081406649885
AVG R2 SCORE: 0.9544374704512236, SYMBOLIC: 0.9515685335727991
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.974133762487919, SYMBOLIC: 0.9434688424528455
AVG R2 SCORE: 0.9532907828160014, SYMBOLIC: 0.9536095129273913
AVG R2 SCORE: 0.9957693904076862, SYMBOLIC: 0.9638204401658449
AVG R2 SCORE: 0.9114090681474367, SYMBOLIC: NaN
AVG R2 SCORE: 0.8465605085483066, SYMBOLIC: NaN
AVG R2 SCORE: 0.9958997796582942, SYMBOLIC: 0.984350875173109
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -0.014996496204035425, SYMBOLIC: -0.015732454082586722
AVG R2 SCORE: 0.9822173474318705, SYMBOLIC: 0.9649409481325245
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -0.00027738231653628986, SYMBOLIC: NaN
AVG R2 SCORE: -0.00043221195998888184, SYMBOLIC: NaN
AVG R2 SCORE: 0.9566724700810029, SYMBOLIC: 0.9300253108088119
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.08928949867052205, SYMBOLIC: 0.08724165017376939
