AVG R2 SCORE: 0.9814091466298516, SYMBOLIC: NaN
AVG R2 SCORE: 0.9783129141376219, SYMBOLIC: 0.9761277055611116
AVG R2 SCORE: 0.9841501522748739, SYMBOLIC: 0.9841673305534175
AVG R2 SCORE: 0.9887101518671799, SYMBOLIC: 0.983514785292183
AVG R2 SCORE: 0.9749444261067359, SYMBOLIC: 0.9753390995889416
AVG R2 SCORE: 0.9453636603689455, SYMBOLIC: 0.9420533250549501
AVG R2 SCORE: 0.9767577242735255, SYMBOLIC: 0.9743093399166805
AVG R2 SCORE: 0.975184701429069, SYMBOLIC: 0.975809324086984
AVG R2 SCORE: 0.9739012454683745, SYMBOLIC: 0.9808662193658357
AVG R2 SCORE: -2.582424300507239, SYMBOLIC: NaN
AVG R2 SCORE: 0.9746645208997032, SYMBOLIC: NaN
AVG R2 SCORE: 0.9769253354424896, SYMBOLIC: 0.9774850305388139
AVG R2 SCORE: 0.9784196025821928, SYMBOLIC: 0.9787798556800515
AVG R2 SCORE: 0.9860633087760325, SYMBOLIC: -8.881413965427084
AVG R2 SCORE: 0.8909485129054577, SYMBOLIC: 0.8843815334580581
AVG R2 SCORE: 0.9889585295760928, SYMBOLIC: 0.987636799648356
AVG R2 SCORE: 0.986643186185429, SYMBOLIC: 0.9818373264120352
AVG R2 SCORE: 0.9221129701192002, SYMBOLIC: 0.8710486097809529
AVG R2 SCORE: 0.9730558087654877, SYMBOLIC: 0.9329878031114222
AVG R2 SCORE: 0.9838956926900935, SYMBOLIC: 0.9852312158380108
AVG R2 SCORE: 0.9816780376044277, SYMBOLIC: 0.9785153337324262
AVG R2 SCORE: 0.98276278463191, SYMBOLIC: 0.983687244814784
AVG R2 SCORE: 0.4698470778758872, SYMBOLIC: 0.4600189627570745
AVG R2 SCORE: 0.9749428092384502, SYMBOLIC: -6.183935055854696
AVG R2 SCORE: 0.983850347096566, SYMBOLIC: 0.9818453095601136
AVG R2 SCORE: 0.6363870573182382, SYMBOLIC: 0.6366515897487535
AVG R2 SCORE: 0.9883761250717304, SYMBOLIC: 0.9873057692747591
AVG R2 SCORE: 0.9740799350032388, SYMBOLIC: 0.9742825420882113
AVG R2 SCORE: 0.9796764661674591, SYMBOLIC: NaN
AVG R2 SCORE: 0.8549415198850603, SYMBOLIC: 0.856765770612976
AVG R2 SCORE: 0.9736437372006255, SYMBOLIC: 0.9705921085717745
AVG R2 SCORE: 0.9854755218908187, SYMBOLIC: 0.9829285944242807
AVG R2 SCORE: 0.9823070602106307, SYMBOLIC: 0.9820763641965845
AVG R2 SCORE: 0.9740481592484166, SYMBOLIC: -4.336183409416417
AVG R2 SCORE: 0.9703920769874772, SYMBOLIC: 0.971617009348009
AVG R2 SCORE: 0.9872097864740981, SYMBOLIC: 0.9847975103188861
AVG R2 SCORE: 0.9773613146412609, SYMBOLIC: 0.9813622660274443
AVG R2 SCORE: 0.9457313776826967, SYMBOLIC: 0.9510704020297183
AVG R2 SCORE: 0.9721540870660674, SYMBOLIC: 0.9716824543996644
AVG R2 SCORE: 0.9054922101934919, SYMBOLIC: -6.577526741085909
AVG R2 SCORE: 0.9869252117454034, SYMBOLIC: 0.9831442952908053
AVG R2 SCORE: 0.9805300170743853, SYMBOLIC: 0.9786904071762998
AVG R2 SCORE: 0.980007903080956, SYMBOLIC: 0.9806609340750965
AVG R2 SCORE: 0.9860573147921219, SYMBOLIC: NaN
AVG R2 SCORE: -1.9745357925379219, SYMBOLIC: -1.1080818333660203
AVG R2 SCORE: 0.9792081018096535, SYMBOLIC: -1.3248569994916182
AVG R2 SCORE: 0.9812335141332987, SYMBOLIC: 0.9792856165689428
AVG R2 SCORE: 0.9828082183737425, SYMBOLIC: 0.9822168915486691
AVG R2 SCORE: 0.9802368301184511, SYMBOLIC: 0.9781262226634926
AVG R2 SCORE: 0.935003024212111, SYMBOLIC: 0.8288116241111778
AVG R2 SCORE: 0.9868524572305143, SYMBOLIC: 0.9872074350544788
AVG R2 SCORE: 0.9820224692288744, SYMBOLIC: NaN
AVG R2 SCORE: 0.19022821848357058, SYMBOLIC: 0.19351518300289008
AVG R2 SCORE: 0.9623094352435927, SYMBOLIC: 0.9592020566687451
AVG R2 SCORE: 0.9800361791205507, SYMBOLIC: NaN
AVG R2 SCORE: 0.992137375183063, SYMBOLIC: 0.9860521719909597
AVG R2 SCORE: 0.9849309582990265, SYMBOLIC: 0.9856103745309865
AVG R2 SCORE: 0.9821003739163068, SYMBOLIC: 0.9816272820404391
AVG R2 SCORE: 0.9805879541323278, SYMBOLIC: 0.9737538383713714
AVG R2 SCORE: -279257.24312876025, SYMBOLIC: -1896528.6564635076
AVG R2 SCORE: 0.9682989618958352, SYMBOLIC: 0.9699982719724735
AVG R2 SCORE: 0.9725827550161782, SYMBOLIC: -2.579242794363436
AVG R2 SCORE: 0.9748564936530464, SYMBOLIC: 0.9741174966186257
AVG R2 SCORE: 0.9833822482816952, SYMBOLIC: 0.984707037791488
AVG R2 SCORE: 0.990734369934902, SYMBOLIC: 0.9728534955371319
AVG R2 SCORE: 0.9865486426276595, SYMBOLIC: 0.9827852718487627
AVG R2 SCORE: 0.9913618904049878, SYMBOLIC: 0.9859667214353819
AVG R2 SCORE: 0.9876962504317965, SYMBOLIC: 0.9840417027964233
AVG R2 SCORE: 0.9884360295984762, SYMBOLIC: 0.9863634734070224
AVG R2 SCORE: 0.9936143890128297, SYMBOLIC: 0.9890526418149763
AVG R2 SCORE: 0.9832186364113368, SYMBOLIC: 0.9802925712554504
AVG R2 SCORE: 0.9882196037155004, SYMBOLIC: 0.9860815857647018
AVG R2 SCORE: 0.990804614518003, SYMBOLIC: 0.9875150053066013
AVG R2 SCORE: 0.9853728592412551, SYMBOLIC: 0.9820396479393673
AVG R2 SCORE: 0.9862789966903848, SYMBOLIC: 0.984860267525159
AVG R2 SCORE: 0.9897496500819584, SYMBOLIC: 0.9847840879017409
AVG R2 SCORE: 0.9838553758170989, SYMBOLIC: 0.982260295766334
AVG R2 SCORE: 0.9785039853649946, SYMBOLIC: 0.9785086160558274
AVG R2 SCORE: 0.9884345580959648, SYMBOLIC: 0.9859234358685578
AVG R2 SCORE: 0.9904135203598015, SYMBOLIC: 0.9764447407915109
AVG R2 SCORE: 0.5215888452472186, SYMBOLIC: 0.5224483033523593
AVG R2 SCORE: 0.9941957368693868, SYMBOLIC: NaN
AVG R2 SCORE: 0.9868553274488041, SYMBOLIC: 0.9837355450378837
AVG R2 SCORE: 0.970016100473953, SYMBOLIC: 0.9698837720191338
AVG R2 SCORE: 0.9834619615775909, SYMBOLIC: 0.9765714817537907
AVG R2 SCORE: 0.9907509750890228, SYMBOLIC: NaN
AVG R2 SCORE: 0.9814862874013033, SYMBOLIC: 0.9805624742029448
AVG R2 SCORE: 0.9805561288150342, SYMBOLIC: 0.9834955807025108
AVG R2 SCORE: 0.9683517171666528, SYMBOLIC: 0.9701486448322296
AVG R2 SCORE: 0.9907570201789375, SYMBOLIC: 0.9898447097045976
AVG R2 SCORE: 0.9793238980667942, SYMBOLIC: 0.9807993585811993
AVG R2 SCORE: 0.9823402636225269, SYMBOLIC: 0.9765487374070048
AVG R2 SCORE: 0.9744176852045675, SYMBOLIC: 0.9471973636872673
AVG R2 SCORE: 0.9604965088284395, SYMBOLIC: 0.9609426213319918
AVG R2 SCORE: 0.9883849168242461, SYMBOLIC: 0.9837425878710365
AVG R2 SCORE: 0.9653879931612755, SYMBOLIC: 0.9651430345299381
AVG R2 SCORE: 0.981163899729742, SYMBOLIC: 0.9788380775282132
AVG R2 SCORE: -0.6711932703632966, SYMBOLIC: -0.6338773544498124
AVG R2 SCORE: 0.9320780238486321, SYMBOLIC: 0.825448261354427
AVG R2 SCORE: 0.9860841366952071, SYMBOLIC: 0.98346862725208
AVG R2 SCORE: 0.9754096089182918, SYMBOLIC: 0.9765707712213931
AVG R2 SCORE: 0.9784273975738591, SYMBOLIC: 0.9763092482643397
AVG R2 SCORE: 0.9587511681363023, SYMBOLIC: -1.7056559944946785
AVG R2 SCORE: 0.2335486814258089, SYMBOLIC: NaN
AVG R2 SCORE: 0.9719258718313412, SYMBOLIC: 0.9730611871760022
AVG R2 SCORE: 0.9799404864680967, SYMBOLIC: 0.9770818418836333
AVG R2 SCORE: 0.5673927867381706, SYMBOLIC: NaN
AVG R2 SCORE: 0.9848840490561102, SYMBOLIC: 0.9808863871542282
AVG R2 SCORE: 0.9318281888029708, SYMBOLIC: 0.9272468549464303
AVG R2 SCORE: 0.9852044065751927, SYMBOLIC: 0.9846829275350909
AVG R2 SCORE: 0.9812946527835138, SYMBOLIC: 0.5510183229568755
AVG R2 SCORE: 0.984409480590803, SYMBOLIC: 0.9791746795046584
AVG R2 SCORE: 0.9821071337750412, SYMBOLIC: NaN
AVG R2 SCORE: 0.540112611079123, SYMBOLIC: 0.5407606444884341
AVG R2 SCORE: 0.9910068153614056, SYMBOLIC: 0.9902799385739712
AVG R2 SCORE: 0.9618652102633719, SYMBOLIC: 0.9855136264473721
AVG R2 SCORE: 0.9271325136541484, SYMBOLIC: 0.9079023078659451
AVG R2 SCORE: 0.9729693902801564, SYMBOLIC: 0.9721630331815885
AVG R2 SCORE: 0.9797934069716845, SYMBOLIC: 0.9766098068209814
