AVG R2 SCORE: 0.8986900490001977, SYMBOLIC: 0.8995683441905787
AVG R2 SCORE: 0.9855492381160147, SYMBOLIC: 0.9847466433316501
AVG R2 SCORE: 0.0017988432995701131, SYMBOLIC: 0.0012761978348506398
AVG R2 SCORE: 0.9806132533226071, SYMBOLIC: 0.9763950529693736
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.6674761970946059, SYMBOLIC: 0.585783272126027
AVG R2 SCORE: 0.9704176521273062, SYMBOLIC: 0.9075383451991217
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.9725950362779958, SYMBOLIC: 0.9732256862652695
AVG R2 SCORE: 0.007987793003654264, SYMBOLIC: 0.007466770222575886
AVG R2 SCORE: 0.987730609253137, SYMBOLIC: 0.9843725291200437
AVG R2 SCORE: -0.23716930050824347, SYMBOLIC: -0.23153179747716773
AVG R2 SCORE: 0.9831302651507925, SYMBOLIC: 0.9811714973023559
AVG R2 SCORE: 0.9711292646230867, SYMBOLIC: 0.9742478364127992
AVG R2 SCORE: 0.9669241511099695, SYMBOLIC: 0.9673837668091381
AVG R2 SCORE: 0.9538652766275123, SYMBOLIC: 0.9546310795099082
AVG R2 SCORE: 0.530980879754768, SYMBOLIC: 0.5110893575270943
AVG R2 SCORE: -0.0008646677351847876, SYMBOLIC: -0.0008622849729626736
AVG R2 SCORE: 0.9847029457568063, SYMBOLIC: 0.9824141996355349
AVG R2 SCORE: -0.0005210648505290794, SYMBOLIC: -0.0005085444598843525
AVG R2 SCORE: 0.9878304819349709, SYMBOLIC: 0.9865014288258225
AVG R2 SCORE: 0.9840150811105445, SYMBOLIC: 0.9724463515338179
AVG R2 SCORE: 0.9870470440137159, SYMBOLIC: 0.9849344922118277
AVG R2 SCORE: 0.8409841467042478, SYMBOLIC: 0.7242820002548724
AVG R2 SCORE: 0.9870565111233538, SYMBOLIC: 0.9866597034732238
AVG R2 SCORE: 0.9802356219216661, SYMBOLIC: 0.9809054346632948
AVG R2 SCORE: 0.9526538696511249, SYMBOLIC: NaN
AVG R2 SCORE: -0.05611677942549201, SYMBOLIC: -0.056962718929035955
AVG R2 SCORE: 0.9830399060451436, SYMBOLIC: 0.9814460987651437
AVG R2 SCORE: 0.6726143564523059, SYMBOLIC: 0.6872659092545736
AVG R2 SCORE: 0.9883766916072068, SYMBOLIC: 0.9855923536902547
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.9871155897021284, SYMBOLIC: 0.9857056087807288
AVG R2 SCORE: 0.9790185083438794, SYMBOLIC: 0.972378862778457
AVG R2 SCORE: 0.9775906246241756, SYMBOLIC: 0.9714623749249025
AVG R2 SCORE: 0.9808635797380552, SYMBOLIC: 0.9815088872971528
AVG R2 SCORE: -0.043947535051422126, SYMBOLIC: -0.04972998204450768
AVG R2 SCORE: 0.891612540439902, SYMBOLIC: 0.9024541123810955
AVG R2 SCORE: 0.9769434564270694, SYMBOLIC: 0.9743105025779469
AVG R2 SCORE: 0.9511824751990157, SYMBOLIC: 0.9541555900585719
AVG R2 SCORE: 0.9737600500242969, SYMBOLIC: 0.9741250962566893
AVG R2 SCORE: 0.9886814513975337, SYMBOLIC: 0.9177267435242977
AVG R2 SCORE: 0.9892574540420236, SYMBOLIC: 0.9865461106273592
AVG R2 SCORE: 0.9896418483018647, SYMBOLIC: 0.9844333041060291
AVG R2 SCORE: -0.007431030194697569, SYMBOLIC: -0.008436168897265839
AVG R2 SCORE: 0.4397023571044303, SYMBOLIC: 0.5190090058186108
AVG R2 SCORE: 0.046864356541693075, SYMBOLIC: NaN
AVG R2 SCORE: 0.9793767951398615, SYMBOLIC: 0.9794040904455859
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.9866010091594244, SYMBOLIC: 0.9854607986191166
AVG R2 SCORE: -0.004380467933926158, SYMBOLIC: -0.006308453794538843
AVG R2 SCORE: 0.9875057172221318, SYMBOLIC: 0.9080929008987504
AVG R2 SCORE: -0.011069327994386702, SYMBOLIC: -0.010720927674897407
AVG R2 SCORE: 0.9844026687769976, SYMBOLIC: 0.9799711191337104
AVG R2 SCORE: 0.9758126873732816, SYMBOLIC: 0.9727918054170803
AVG R2 SCORE: 0.973557059188277, SYMBOLIC: 0.9663303584474883
AVG R2 SCORE: 0.9858634860218214, SYMBOLIC: 0.984282061361172
AVG R2 SCORE: 0.9884834466504551, SYMBOLIC: 0.9878145110220765
AVG R2 SCORE: 0.9881809552205109, SYMBOLIC: 0.9875755041933513
AVG R2 SCORE: -0.008864011508380676, SYMBOLIC: -0.01001801583351497
AVG R2 SCORE: 0.9808297295474875, SYMBOLIC: 0.9671220658814919
AVG R2 SCORE: -0.16419103073074898, SYMBOLIC: -0.16360826583822907
AVG R2 SCORE: 0.2798976815909878, SYMBOLIC: 0.28499162944185796
AVG R2 SCORE: 0.9835465756687412, SYMBOLIC: 0.9771990522667798
AVG R2 SCORE: 0.9883839857587081, SYMBOLIC: 0.9876822096775306
AVG R2 SCORE: 0.987822657964016, SYMBOLIC: 0.9873105293248352
AVG R2 SCORE: 0.9883838349430337, SYMBOLIC: 0.9876420130381343
AVG R2 SCORE: 0.9882522309337702, SYMBOLIC: 0.9873834015402017
AVG R2 SCORE: 0.9891282489401704, SYMBOLIC: 0.9877925437670821
AVG R2 SCORE: 0.9884649567961472, SYMBOLIC: 0.9877352330988061
