AVG R2 SCORE: 0.9340313308372785, SYMBOLIC: 0.8572795952480003
AVG R2 SCORE: 0.9315353924200789, SYMBOLIC: 0.8491560519519599
AVG R2 SCORE: 0.9309151898294203, SYMBOLIC: 0.8283231054227777
AVG R2 SCORE: 0.954387725363388, SYMBOLIC: 0.7648039622712159
AVG R2 SCORE: 0.8867029680457612, SYMBOLIC: 0.8219771192187659
AVG R2 SCORE: 0.9692041911708099, SYMBOLIC: 0.8056371916204398
AVG R2 SCORE: 0.8468636070803395, SYMBOLIC: 0.7738905903462527
AVG R2 SCORE: 0.9187527667155854, SYMBOLIC: NaN
AVG R2 SCORE: -3290.7379290773874, SYMBOLIC: NaN
AVG R2 SCORE: 0.941319527226103, SYMBOLIC: 0.8279750948039348
AVG R2 SCORE: 0.9468548573652928, SYMBOLIC: 0.8430276013498903
AVG R2 SCORE: 0.8707171767146736, SYMBOLIC: 0.7377100165040495
AVG R2 SCORE: -0.9016249001888891, SYMBOLIC: -0.8128510423467574
AVG R2 SCORE: 0.9469852158988861, SYMBOLIC: 0.8212320221082894
AVG R2 SCORE: 0.9089217868783959, SYMBOLIC: 0.7782184543899135
AVG R2 SCORE: 0.9244069304322439, SYMBOLIC: 0.8360052330924429
AVG R2 SCORE: 0.9575446284229263, SYMBOLIC: 0.8343006142941988
AVG R2 SCORE: -4.372042826176607, SYMBOLIC: -4.0307506486851725
AVG R2 SCORE: 0.9577166967190636, SYMBOLIC: 0.7981849970721657
AVG R2 SCORE: 0.9279154241235202, SYMBOLIC: 0.8540492070520411
AVG R2 SCORE: 0.9047288080272355, SYMBOLIC: 0.865243373605202
AVG R2 SCORE: 0.9230581172466528, SYMBOLIC: 0.7851643485409427
AVG R2 SCORE: 0.8558882225145406, SYMBOLIC: -2.869959390745326
AVG R2 SCORE: 0.9151442102881454, SYMBOLIC: 0.8410895979580811
AVG R2 SCORE: 0.0885144097048843, SYMBOLIC: 0.0873912646652053
AVG R2 SCORE: 0.905062533742894, SYMBOLIC: -0.4426397215452743
AVG R2 SCORE: 0.7389098827625611, SYMBOLIC: 0.7061316701375012
AVG R2 SCORE: 0.9612946254629586, SYMBOLIC: 0.8507957080255302
AVG R2 SCORE: 0.9441171363228336, SYMBOLIC: NaN
AVG R2 SCORE: 0.9561447386559989, SYMBOLIC: NaN
AVG R2 SCORE: 0.9488322803017846, SYMBOLIC: 0.8718993291816133
AVG R2 SCORE: -0.06834413197546434, SYMBOLIC: -0.06631664497160447
AVG R2 SCORE: 0.9572981413955078, SYMBOLIC: 0.826769471285148
AVG R2 SCORE: -4.4991225965666, SYMBOLIC: -3.707672020717156
AVG R2 SCORE: 0.9550256371371774, SYMBOLIC: 0.8857245423438203
AVG R2 SCORE: 0.9450405639552951, SYMBOLIC: 0.832032027540609
AVG R2 SCORE: 0.8670042767805686, SYMBOLIC: 0.7668376812087103
AVG R2 SCORE: 0.9584811906551799, SYMBOLIC: NaN
AVG R2 SCORE: 0.9226306633502903, SYMBOLIC: NaN
AVG R2 SCORE: 0.9534010804877866, SYMBOLIC: 0.8790419200450434
AVG R2 SCORE: -0.0578446986722446, SYMBOLIC: -0.060041720408582244
AVG R2 SCORE: 0.9194791719932989, SYMBOLIC: NaN
AVG R2 SCORE: 0.9396267033389364, SYMBOLIC: 0.813390420875358
AVG R2 SCORE: -3.392079081103752, SYMBOLIC: NaN
AVG R2 SCORE: 0.7242090992888258, SYMBOLIC: NaN
AVG R2 SCORE: 0.9254154948985157, SYMBOLIC: 0.7393460811273741
AVG R2 SCORE: 0.9545671395236198, SYMBOLIC: 0.9011911383823197
AVG R2 SCORE: 0.9465270639604411, SYMBOLIC: 0.8533423646116205
AVG R2 SCORE: -0.1795931620608429, SYMBOLIC: -0.18012912210854728
AVG R2 SCORE: 0.8096996208617258, SYMBOLIC: 0.7897130275299605
AVG R2 SCORE: -3.5616232640038836, SYMBOLIC: -3.558643089726675
AVG R2 SCORE: 0.9283411290535369, SYMBOLIC: 0.8226567151565145
AVG R2 SCORE: 0.9224188706042161, SYMBOLIC: 0.7741693832392398
AVG R2 SCORE: 0.9262855448672063, SYMBOLIC: 0.779512442088244
AVG R2 SCORE: 0.9107067316242083, SYMBOLIC: 0.7970993922326184
AVG R2 SCORE: 0.9112976847306824, SYMBOLIC: 0.8258824286480705
AVG R2 SCORE: 0.05978382101297397, SYMBOLIC: 0.05970464058630816
AVG R2 SCORE: 0.9169698866891517, SYMBOLIC: 0.8340965238512995
AVG R2 SCORE: 0.5410828073717345, SYMBOLIC: 0.5368154405411436
AVG R2 SCORE: 0.8851727238396547, SYMBOLIC: 0.7891665229737929
AVG R2 SCORE: 0.7277553483718133, SYMBOLIC: 0.7243610860939022
AVG R2 SCORE: 0.8811607078867878, SYMBOLIC: 0.8327927908104906
AVG R2 SCORE: 0.884265500883736, SYMBOLIC: 0.7688266486799458
AVG R2 SCORE: 0.9461361656787396, SYMBOLIC: NaN
AVG R2 SCORE: 0.9494500361641437, SYMBOLIC: 0.8219298514819245
AVG R2 SCORE: 0.9455053858990663, SYMBOLIC: NaN
AVG R2 SCORE: 0.9600411627360937, SYMBOLIC: 0.9059609200321084
AVG R2 SCORE: 0.9604757260203785, SYMBOLIC: NaN
AVG R2 SCORE: 0.9438116453480847, SYMBOLIC: NaN
AVG R2 SCORE: 0.9580118245049954, SYMBOLIC: 0.8514067368025415
AVG R2 SCORE: 0.9486842755802982, SYMBOLIC: 0.843702431908475
AVG R2 SCORE: 0.9317719832904986, SYMBOLIC: 0.8430002792256481
AVG R2 SCORE: 0.9584115639904794, SYMBOLIC: 0.8506815542573897
AVG R2 SCORE: 0.9018273912562614, SYMBOLIC: 0.7877968236086227
AVG R2 SCORE: 0.938034016433754, SYMBOLIC: NaN
AVG R2 SCORE: 0.9585523606863331, SYMBOLIC: NaN
AVG R2 SCORE: 0.858544935716005, SYMBOLIC: 0.8166999734867566
AVG R2 SCORE: 0.011472134020661606, SYMBOLIC: 0.007213271065291904
AVG R2 SCORE: 0.8923824205076482, SYMBOLIC: 0.7416880701424551
AVG R2 SCORE: 0.8708010189071181, SYMBOLIC: 0.8095843221355332
AVG R2 SCORE: 0.9275412545094882, SYMBOLIC: 0.7658491512954224
AVG R2 SCORE: -8.832236737043818, SYMBOLIC: NaN
AVG R2 SCORE: 0.8278521832195797, SYMBOLIC: 0.8051702464393387
AVG R2 SCORE: 0.9047652116510216, SYMBOLIC: 0.8539305460648233
AVG R2 SCORE: 0.009855158859787161, SYMBOLIC: 0.014723451206488991
AVG R2 SCORE: 0.9298103913977643, SYMBOLIC: 0.8123359610774493
AVG R2 SCORE: 0.9359150081266631, SYMBOLIC: 0.8280154584723414
AVG R2 SCORE: -5.033756976150107, SYMBOLIC: -5.1668937782503335
AVG R2 SCORE: 0.9304831790395898, SYMBOLIC: 0.8334855841427874
AVG R2 SCORE: 0.9004637457321418, SYMBOLIC: 0.7735164071436771
AVG R2 SCORE: 0.8972898026485548, SYMBOLIC: 0.7768804199828486
AVG R2 SCORE: 0.9231744639706573, SYMBOLIC: 0.8087706646126607
AVG R2 SCORE: 0.8724885043395583, SYMBOLIC: 0.7826105425742552
AVG R2 SCORE: -0.06328964302460897, SYMBOLIC: -0.06583515537077685
AVG R2 SCORE: 0.9619917094143572, SYMBOLIC: 0.81753321698303
AVG R2 SCORE: 0.6939684800601632, SYMBOLIC: 0.6784938083705657
AVG R2 SCORE: 0.9197956105485057, SYMBOLIC: 0.8352527250235173
AVG R2 SCORE: 0.9164756010106373, SYMBOLIC: 0.7604005141950773
AVG R2 SCORE: 0.9568141094085018, SYMBOLIC: 0.7968653127998542
AVG R2 SCORE: 0.9246700301324104, SYMBOLIC: 0.7775742203784206
AVG R2 SCORE: 0.8430360236611536, SYMBOLIC: 0.8192833329074694
AVG R2 SCORE: 0.9624972808776858, SYMBOLIC: 0.8789467392557203
AVG R2 SCORE: 0.9078057360265545, SYMBOLIC: 0.8915084394225582
AVG R2 SCORE: 0.8330899250141564, SYMBOLIC: 0.7944994096548963
AVG R2 SCORE: 0.9406985740053425, SYMBOLIC: 0.8023240908633147
AVG R2 SCORE: 0.9266779664009059, SYMBOLIC: 0.7781214560855231
AVG R2 SCORE: 0.8923447504909354, SYMBOLIC: 0.8484757161365936
AVG R2 SCORE: 0.927295216454648, SYMBOLIC: NaN
AVG R2 SCORE: 0.9328553544988596, SYMBOLIC: 0.777595187265428
AVG R2 SCORE: 0.9468188417205692, SYMBOLIC: 0.8083765313443243
AVG R2 SCORE: 0.9576052280766083, SYMBOLIC: 0.8777426601567594
AVG R2 SCORE: 0.8510943657470438, SYMBOLIC: 0.7937009025751833
AVG R2 SCORE: 0.9151133414307033, SYMBOLIC: 0.7988443593543089
AVG R2 SCORE: 0.9650346465986995, SYMBOLIC: 0.8067361660869459
AVG R2 SCORE: 0.7312242708875687, SYMBOLIC: 0.7190249321983625
AVG R2 SCORE: 0.9506380641832841, SYMBOLIC: 0.8294620463120784
AVG R2 SCORE: -3.4558851820956002, SYMBOLIC: -1.4838587461579476
AVG R2 SCORE: 0.9336915774928203, SYMBOLIC: 0.7773873946739076
AVG R2 SCORE: 0.9651142668452082, SYMBOLIC: NaN
