AVG R2 SCORE: 0.9911103012925668, SYMBOLIC: 0.946909299494703
AVG R2 SCORE: 0.8665276463328109, SYMBOLIC: 0.8663665011666754
AVG R2 SCORE: 0.9883739540117268, SYMBOLIC: 0.9893834463778823
AVG R2 SCORE: 0.9645228274272197, SYMBOLIC: 0.954436087231449
AVG R2 SCORE: 0.9784775828853379, SYMBOLIC: 0.9789519757712392
AVG R2 SCORE: 0.9966147880015118, SYMBOLIC: NaN
AVG R2 SCORE: 0.9133118224704081, SYMBOLIC: 0.9040629610859453
AVG R2 SCORE: -0.13286966985093082, SYMBOLIC: -0.13412988313180743
AVG R2 SCORE: 0.9691426231393866, SYMBOLIC: 0.9694174324247946
AVG R2 SCORE: -0.3113963278405148, SYMBOLIC: -0.16946082161857592
AVG R2 SCORE: 0.9199388904337794, SYMBOLIC: 0.8066783470917814
AVG R2 SCORE: 0.9907133777756711, SYMBOLIC: 0.9908250697948074
AVG R2 SCORE: 0.9862991633298237, SYMBOLIC: 0.9877122715541796
AVG R2 SCORE: -0.08036459952157037, SYMBOLIC: -0.03894800769612141
AVG R2 SCORE: 0.9754633385093389, SYMBOLIC: 0.9759351801961426
AVG R2 SCORE: 0.013026648635929394, SYMBOLIC: 0.012353179994426885
AVG R2 SCORE: 0.9708397108702078, SYMBOLIC: 0.9716400616515823
AVG R2 SCORE: 0.9628179936560199, SYMBOLIC: 0.9630128125475584
AVG R2 SCORE: 0.991895482956768, SYMBOLIC: NaN
AVG R2 SCORE: 0.9954231335189129, SYMBOLIC: 0.9955920575624803
AVG R2 SCORE: 0.9959295619719866, SYMBOLIC: 0.9962817535591372
AVG R2 SCORE: 0.9825766581272394, SYMBOLIC: 0.9827398865004454
AVG R2 SCORE: 0.9954630686231193, SYMBOLIC: 0.9960111903230585
AVG R2 SCORE: 0.04933307300587649, SYMBOLIC: 0.04753772185347358
AVG R2 SCORE: 0.9858452536387757, SYMBOLIC: 0.9856903373878737
AVG R2 SCORE: 0.9650580657790068, SYMBOLIC: 0.9661395606478994
AVG R2 SCORE: 0.9351116027718614, SYMBOLIC: 0.9359436689376425
AVG R2 SCORE: 0.9712975407856956, SYMBOLIC: 0.9722540277540759
AVG R2 SCORE: 0.9896617369631303, SYMBOLIC: 0.9899729000530177
AVG R2 SCORE: 0.6405329396189204, SYMBOLIC: -0.23001183860387284
AVG R2 SCORE: 0.9971233137401083, SYMBOLIC: 0.9970290607173987
AVG R2 SCORE: 0.9962651876698109, SYMBOLIC: 0.9964577963533158
AVG R2 SCORE: 0.9971153861350163, SYMBOLIC: 0.9969976088125132
AVG R2 SCORE: 0.9915596828473411, SYMBOLIC: 0.9923437835352346
AVG R2 SCORE: 0.9745881014861335, SYMBOLIC: 0.9748742299491102
AVG R2 SCORE: -0.004079981130529357, SYMBOLIC: NaN
AVG R2 SCORE: 0.9967685868622774, SYMBOLIC: 0.996762371531854
AVG R2 SCORE: 0.9868491030023061, SYMBOLIC: 0.9870563809961518
AVG R2 SCORE: -0.007163445907342247, SYMBOLIC: -0.007655268198110798
AVG R2 SCORE: 0.9687153447125563, SYMBOLIC: 0.9692321034489989
AVG R2 SCORE: 0.9204236344931539, SYMBOLIC: NaN
AVG R2 SCORE: 0.9931742438293139, SYMBOLIC: 0.9933678619547285
AVG R2 SCORE: 0.9316195238187662, SYMBOLIC: 0.9316758226673545
AVG R2 SCORE: 0.9965140066766954, SYMBOLIC: 0.9967246551106475
AVG R2 SCORE: 0.8863950872793449, SYMBOLIC: 0.8868034535821767
AVG R2 SCORE: 0.9501805135931719, SYMBOLIC: NaN
AVG R2 SCORE: 0.8699015289548909, SYMBOLIC: 0.8733411938956022
AVG R2 SCORE: 0.975700080994867, SYMBOLIC: 0.9762587990403625
AVG R2 SCORE: 0.9785238512459383, SYMBOLIC: 0.9799313705379592
AVG R2 SCORE: 0.9933936126390025, SYMBOLIC: 0.994401206246803
AVG R2 SCORE: 0.6198285613564495, SYMBOLIC: NaN
AVG R2 SCORE: 0.9955319889840303, SYMBOLIC: 0.995761862418154
AVG R2 SCORE: 0.9971440746778928, SYMBOLIC: 0.9969666382086168
AVG R2 SCORE: 0.9964850575833845, SYMBOLIC: 0.9964850346497435
AVG R2 SCORE: 0.09593845137195338, SYMBOLIC: 0.09526734547746457
AVG R2 SCORE: 0.9718813767384811, SYMBOLIC: 0.9724083053916973
AVG R2 SCORE: 0.974705194636682, SYMBOLIC: 0.9759906617783995
AVG R2 SCORE: 0.9656671503792906, SYMBOLIC: 0.9660879445323464
AVG R2 SCORE: 0.9196687972937566, SYMBOLIC: 0.9170050480087505
AVG R2 SCORE: 0.9835151463067104, SYMBOLIC: 0.9861958851911883
AVG R2 SCORE: 0.9291231937891996, SYMBOLIC: 0.8828659162144398
AVG R2 SCORE: 0.9943804609370807, SYMBOLIC: 0.994942125883434
AVG R2 SCORE: -0.0034133643999048058, SYMBOLIC: -0.0023740611982460877
AVG R2 SCORE: 0.9940339228610626, SYMBOLIC: 0.9942642917439265
AVG R2 SCORE: 0.9968856433664679, SYMBOLIC: 0.9968221728210996
AVG R2 SCORE: 0.9697845175295522, SYMBOLIC: 0.9698687145517622
AVG R2 SCORE: 0.9837271209030867, SYMBOLIC: 0.983879410336055
AVG R2 SCORE: 0.9708277770644762, SYMBOLIC: 0.9708053170764007
AVG R2 SCORE: 0.9853272174513803, SYMBOLIC: 0.9854599481011546
AVG R2 SCORE: 0.9795365713795033, SYMBOLIC: 0.9795676173585957
AVG R2 SCORE: 0.9698291864570082, SYMBOLIC: 0.9695574096350631
AVG R2 SCORE: 0.944042843495032, SYMBOLIC: 0.9444244128395497
AVG R2 SCORE: 0.991642138356687, SYMBOLIC: 0.9918321027845831
AVG R2 SCORE: 0.9860071738471112, SYMBOLIC: 0.9861401390207339
AVG R2 SCORE: 0.965283269902272, SYMBOLIC: 0.9671703831873616
AVG R2 SCORE: 0.9076126825023111, SYMBOLIC: 0.9087936108742162
AVG R2 SCORE: 0.9929534844959086, SYMBOLIC: 0.9930376702732692
AVG R2 SCORE: 0.9968468805898532, SYMBOLIC: 0.9965815886497573
AVG R2 SCORE: 0.9941570510245406, SYMBOLIC: 0.9943839579212258
AVG R2 SCORE: 0.9816257233273967, SYMBOLIC: 0.9819910424015145
AVG R2 SCORE: 0.9897271821566277, SYMBOLIC: 0.989682663647906
AVG R2 SCORE: 0.8999946351057581, SYMBOLIC: NaN
AVG R2 SCORE: 0.9646781158249481, SYMBOLIC: 0.43679761291817604
AVG R2 SCORE: 0.9735712698834026, SYMBOLIC: 0.974373801843578
AVG R2 SCORE: 0.9976583103793605, SYMBOLIC: 0.9974456063677564
AVG R2 SCORE: 0.9936830389776107, SYMBOLIC: NaN
AVG R2 SCORE: 0.9957589382430877, SYMBOLIC: 0.9956967782069049
AVG R2 SCORE: 0.9782904603791723, SYMBOLIC: NaN
AVG R2 SCORE: 0.99556960726989, SYMBOLIC: 0.9955941616566921
AVG R2 SCORE: 0.9962886347204831, SYMBOLIC: 0.9965170272462882
AVG R2 SCORE: 0.9960354044893163, SYMBOLIC: 0.995980258422671
AVG R2 SCORE: 0.9808938669498762, SYMBOLIC: 0.9808407991415425
AVG R2 SCORE: 0.996785002523722, SYMBOLIC: 0.9955228295739135
AVG R2 SCORE: 0.9958278858163269, SYMBOLIC: 0.9075980210229586
AVG R2 SCORE: 0.9948249621758176, SYMBOLIC: 0.9951126330231698
AVG R2 SCORE: 0.9862582866361963, SYMBOLIC: 0.9867470009889147
AVG R2 SCORE: 0.9954561542642356, SYMBOLIC: 0.9956049910767426
AVG R2 SCORE: 0.9886415622739739, SYMBOLIC: 0.9891367133467202
AVG R2 SCORE: 0.9750750804785137, SYMBOLIC: 0.9480942985520809
AVG R2 SCORE: 0.9730605285917525, SYMBOLIC: 0.9725851986570334
AVG R2 SCORE: 0.9974991120454567, SYMBOLIC: 0.9972869490671353
AVG R2 SCORE: 0.9937790836124424, SYMBOLIC: 0.9939505540465841
AVG R2 SCORE: 0.9970592961123236, SYMBOLIC: 0.9970337135198228
AVG R2 SCORE: 0.9966553409958575, SYMBOLIC: 0.9964701418905305
AVG R2 SCORE: 0.9954460038554857, SYMBOLIC: 0.9957731641584879
AVG R2 SCORE: 0.8185498261060822, SYMBOLIC: 0.952100401148371
AVG R2 SCORE: 0.9974349112386106, SYMBOLIC: 0.9973137048191174
AVG R2 SCORE: 0.9941177802031049, SYMBOLIC: 0.9942223762641952
AVG R2 SCORE: 0.9916045555883786, SYMBOLIC: 0.9912887716990507
AVG R2 SCORE: 0.9897689372668932, SYMBOLIC: 0.9901346940837659
AVG R2 SCORE: 0.944933413178252, SYMBOLIC: 0.9470630870276421
AVG R2 SCORE: 0.9901169897959029, SYMBOLIC: 0.9944618666402197
AVG R2 SCORE: 0.9972310690122931, SYMBOLIC: 0.9966342055382955
AVG R2 SCORE: 0.9976458083947944, SYMBOLIC: 0.9973726206877883
AVG R2 SCORE: 0.9348183300832024, SYMBOLIC: 0.9355617851673051
AVG R2 SCORE: 0.9931931624233757, SYMBOLIC: 0.9933688784982545
AVG R2 SCORE: 0.9947659782831062, SYMBOLIC: 0.9948811104489449
AVG R2 SCORE: 0.9577761697879877, SYMBOLIC: 0.958386209971271
AVG R2 SCORE: 0.9720182622806034, SYMBOLIC: 0.9458791405815937
